lcl,Median,ucl,Mean,SD,Mode,MCerr,MC.ofSD,SSeff,AC.100,Rhat,parameter,Year,demographic,Scenario
3638.28541381877,4562.87554019442,5646.1198575503,4595.46818174952,514.58388010362,4520.80407636518,17.9336939613119,3.5,823,0.871757994276059,1.00260538806613,"Ntot.f[2,10]",2031,pop.size,after successful mouse eradication
2122.62394388169,2595.40132439738,3143.0962532454,2612.74039694139,261.486631942665,2564.11606584398,7.69433767468032,2.9,1155,0.826019865675535,1.00307105330071,"Ntot.f[3,10]",2031,pop.size,unsuccessful mouse eradication and worsening impacts
2926.60507720321,3629.38057692981,4445.02797301483,3655.50913556711,389.208346962657,3590.69462736307,11.9597508729159,3.1,1059,0.850290633718496,1.00276626066977,"Ntot.f[1,11]",2032,pop.size,"past, and no future change"
3599.53480254171,4612.85086106971,5798.3643270741,4649.21742385617,564.311783443304,4550.6896566291,19.8730310360634,3.5,806,0.87455950321421,1.0025707060721,"Ntot.f[2,11]",2032,pop.size,after successful mouse eradication
1940.23317973412,2416.84930807927,2968.67140280708,2435.3301146884,263.855274005553,2387.6794588769,7.82834016076304,3,1136,0.827315073349974,1.00294987025455,"Ntot.f[3,11]",2032,pop.size,unsuccessful mouse eradication and worsening impacts
2842.56884188661,3596.95009638928,4464.14627123815,3626.46606184035,415.725405196035,3547.91914737922,12.7997767820613,3.1,1055,0.852828260087833,1.00268487018103,"Ntot.f[1,12]",2033,pop.size,"past, and no future change"
3570.28280919599,4660.35130491864,5965.5226697498,4703.69942273718,615.477843937826,4611.82282842406,22.0098722945626,3.6,782,0.876839067968742,1.00253728471889,"Ntot.f[2,12]",2033,pop.size,after successful mouse eradication
1775.57527668067,2252.25509565088,2805.52853126269,2271.39474563173,264.779626710824,2221.05615866122,7.72873319243964,2.9,1174,0.828579617827842,1.0029098056473,"Ntot.f[3,12]",2033,pop.size,unsuccessful mouse eradication and worsening impacts
2779.53877673597,3564.4956642133,4499.97395845129,3597.9567860133,442.095552466225,3524.6860830125,13.5513563807415,3.1,1064,0.85504257916616,1.0026138258577,"Ntot.f[1,13]",2034,pop.size,"past, and no future change"
3513.90183602494,4708.93350014483,6109.43519330845,4759.03127637418,668.041453260244,4618.62285603392,24.0643138443106,3.6,771,0.878733081617739,1.00249236189572,"Ntot.f[2,13]",2034,pop.size,after successful mouse eradication
1625.55251267247,2099.64439131755,2655.11602417581,2119.6953993174,264.483201466892,2073.41870029772,7.92074515651829,3,1115,0.829505800696873,1.00283215393613,"Ntot.f[3,13]",2034,pop.size,unsuccessful mouse eradication and worsening impacts
2696.20087126746,3533.65635630986,4517.55779720517,3570.45015035261,468.131264463613,3496.65426105078,14.4491570681291,3.1,1050,0.856874335186549,1.0025811611825,"Ntot.f[1,14]",2035,pop.size,"past, and no future change"
3441.30145869834,4759.0724105787,6242.01557353036,4815.63672486647,722.233243461507,4646.82687992683,26.012145236688,3.6,771,0.880338825289968,1.00243979333966,"Ntot.f[2,14]",2035,pop.size,after successful mouse eradication
1480.41139493848,1958.28186231971,2502.46286755744,1978.90644179111,263.125801423531,1920.57839301426,7.74343418392349,2.9,1155,0.830306534920988,1.0027678896567,"Ntot.f[3,14]",2035,pop.size,unsuccessful mouse eradication and worsening impacts
2615.3370627681,3503.80864659663,4535.71860556002,3543.51427776213,494.070197122275,3464.51284472446,15.3508018225865,3.1,1036,0.858378686117278,1.00252696859588,"Ntot.f[1,15]",2036,pop.size,"past, and no future change"
3399.69899310776,4810.12770096292,6410.31778492913,4873.51669703087,777.682655082372,4694.8187022341,28.3116820707834,3.6,755,0.881675333950645,1.00239962220312,"Ntot.f[2,15]",2036,pop.size,after successful mouse eradication
1360.77606835958,1826.23309833633,2370.97466639635,1848.0563928898,260.859710143223,1796.1138794021,7.70309196158005,3,1147,0.830855043089277,1.00273033406427,"Ntot.f[3,15]",2036,pop.size,unsuccessful mouse eradication and worsening impacts
2553.4398802625,3473.05210962563,4571.45125284974,3517.27775058152,519.642390220732,3418.25841317903,16.213543486614,3.1,1027,0.859712806594331,1.0024610322149,"Ntot.f[1,16]",2037,pop.size,"past, and no future change"
3378.55242118585,4861.08297061388,6607.38006591148,4932.70432802729,834.811838074675,4752.86206659881,30.5030939910664,3.7,749,0.882835869453327,1.0024018437834,"Ntot.f[2,16]",2037,pop.size,after successful mouse eradication
1245.76098782819,1703.88632607843,2243.77706541663,1726.32262522827,257.815556392382,1657.96873595662,7.661124376857,3,1132,0.831341398859974,1.00273630145998,"Ntot.f[3,16]",2037,pop.size,unsuccessful mouse eradication and worsening impacts
2485.88598806673,3443.71229932702,4598.6163729923,3491.65230477147,545.061725030896,3382.4156603042,17.2291677095202,3.2,1001,0.860889149557059,1.00242516532438,"Ntot.f[1,17]",2038,pop.size,"past, and no future change"
3337.43422671095,4913.01701020054,6788.76167807389,4993.16739408353,893.235947094773,4806.47448373492,32.2668385712654,3.6,766,0.883864082315745,1.00237573400691,"Ntot.f[2,17]",2038,pop.size,after successful mouse eradication
1130.69957252632,1589.72245947369,2111.40952937548,1612.93498618597,254.091393384919,1558.91238467535,7.60540224687895,3,1116,0.831751302597939,1.00267375987948,"Ntot.f[3,17]",2038,pop.size,unsuccessful mouse eradication and worsening impacts
2418.21608596332,3414.63442094166,4626.46265024272,3466.57817875509,570.106101076791,3341.46840250647,18.0835119549291,3.2,994,0.861848430101665,1.00239784618033,"Ntot.f[1,18]",2039,pop.size,"past, and no future change"
3288.05774368536,4964.14690727773,6961.03211369804,5054.95193168801,952.695709408377,4782.01698549888,35.4104869328929,3.7,724,0.884660126806247,1.00233825864316,"Ntot.f[2,18]",2039,pop.size,after successful mouse eradication
1033.69381878735,1483.28414257235,1998.21581399149,1507.11137603399,249.855200044287,1459.3029503908,7.45552391453802,3,1123,0.832085652086284,1.00266369858802,"Ntot.f[3,18]",2039,pop.size,unsuccessful mouse eradication and worsening impacts
2361.79088021401,3385.85850788469,4661.44818490198,3441.81699110596,594.849236450171,3278.59314596299,18.9105388852006,3.2,989,0.862705331886727,1.00235217421397,"Ntot.f[1,19]",2040,pop.size,"past, and no future change"
3251.72513742569,5017.56261315063,7156.85541734933,5118.25470361372,1013.52159303439,4837.16366794327,37.0239203653887,3.7,749,0.885305118058479,1.00231989858644,"Ntot.f[2,19]",2040,pop.size,after successful mouse eradication
946.263302523953,1384.7323412339,1889.72746645992,1408.52898996147,245.105272225184,1345.73722915709,7.34843084728977,3,1113,0.832332733122157,1.00266631026688,"Ntot.f[3,19]",2040,pop.size,unsuccessful mouse eradication and worsening impacts
2300.30561679395,3356.83951398805,4689.52133268032,3417.60949232229,619.392290756196,3249.87800996144,19.7468552763866,3.2,984,0.86349169745601,1.00234764543558,"Ntot.f[1,20]",2041,pop.size,"past, and no future change"
3207.55163510423,5072.06070276396,7348.77576271468,5182.53175316711,1075.379802385,4905.73302063883,40.1122040713443,3.7,719,0.885817928981451,1.00231073801326,"Ntot.f[2,20]",2041,pop.size,after successful mouse eradication
870.924966831247,1292.30513679864,1793.19400002576,1316.54259277452,240.021016301101,1254.05160823731,7.18449036975719,3,1116,0.832515501118186,1.00263819606909,"Ntot.f[3,20]",2041,pop.size,unsuccessful mouse eradication and worsening impacts
2246.67354231303,3328.56026733819,4726.87271699388,3393.72245510495,643.714672332316,3229.29733131577,20.5709603125179,3.2,979,0.864215450925183,1.00232937729134,"Ntot.f[1,21]",2042,pop.size,"past, and no future change"
3170.92282698204,5125.89912114885,7549.34520541396,5247.90463138547,1138.27574669634,4890.77189948022,42.6619477690374,3.7,712,0.886228552527815,1.00229763160783,"Ntot.f[2,21]",2042,pop.size,after successful mouse eradication
