"Mean","Median","SD","lcl","ucl","Rhat","parameter","Year","demographic"
0.470134710749119,0.469904337071474,0.0147396949179918,0.441806113548267,0.499686611316317,1.00050873699577,"p.ad[39]",2016,"breed.propensity"
0.600621124626583,0.600560675210729,0.0142057737703366,0.57299453427039,0.628747505789181,1.00177737723481,"p.ad[40]",2017,"breed.propensity"
0.525794594541168,0.52557708633035,0.0142702714229277,0.498429662084435,0.554343553594819,1.00203595648499,"p.ad[41]",2018,"breed.propensity"
0.570597753149143,0.570929590851245,0.0197387141424433,0.530885562513817,0.608524880924771,1.00144379462179,"p.ad[42]",2019,"breed.propensity"
0.603801231384059,0.603426617909953,0.039185257022894,0.528518062767797,0.681909165768834,1.00093262617544,"p.ad[43]",2020,"breed.propensity"
0.696847290784191,0.697089526745108,0.0109695672039586,0.674937097429064,0.717510940160391,1.01498702430518,"mean.p.ad",NA,"breed.propensity"
9029.96450219659,9029.57464957457,32.3505438060431,8967.38551016164,9094.18704696861,1.00073985550452,"deviance",NA,"deviance"
0.275334487515752,0.275263153171993,0.0104050310134315,0.25507744716688,0.295940615336167,1.0001349942214,"ann.fec[1]",2004,"fecundity"
0.330515588723871,0.330444569673679,0.0131849598834835,0.304859214754428,0.356477863600009,1.00055309575198,"ann.fec[2]",2005,"fecundity"
0.425774009911094,0.425810929521039,0.012909477638286,0.400452164497668,0.451114706236413,1.00049325299585,"ann.fec[3]",2006,"fecundity"
0.348691517433008,0.348681873871645,0.0133454679528807,0.322595370200363,0.374933610174519,1.00001547113044,"ann.fec[4]",2007,"fecundity"
0.140484489333191,0.140373162065591,0.00829672539090364,0.12454675523164,0.157113209247012,1.00002737035924,"ann.fec[5]",2008,"fecundity"
0.272219251465845,0.272145193456942,0.0105358806675388,0.251856753643696,0.293198356963905,1.00009762599946,"ann.fec[6]",2009,"fecundity"
0.184169575110589,0.184056213990212,0.00940218333344423,0.166179396462716,0.202964933853008,1.00002766956414,"ann.fec[7]",2010,"fecundity"
0.389251512720359,0.388963395631689,0.0333607673262399,0.325274479305847,0.45561880494284,1.00066506633784,"ann.fec[8]",2011,"fecundity"
0.35420967172096,0.35413034720865,0.0112529871201874,0.332260421591192,0.376360271421396,1.00002475507021,"ann.fec[9]",2012,"fecundity"
0.573557532587268,0.573568879769334,0.0174451095981797,0.539302825228951,0.607692469831475,1.00029299575856,"ann.fec[10]",2013,"fecundity"
0.17288510784759,0.172732111310639,0.00881158770738114,0.15598933082802,0.190572078219558,1.00010530509945,"ann.fec[11]",2014,"fecundity"
0.341396581345933,0.341353610647023,0.0107979271584162,0.320302672355492,0.362638861081246,1.0000378103675,"ann.fec[12]",2015,"fecundity"
0.261733832153929,0.261605739066471,0.013207173516721,0.236269159429349,0.28789179248382,1.00006529863539,"ann.fec[13]",2016,"fecundity"
0.463933991045604,0.463950525912156,0.0142132489156721,0.436127504637719,0.491860992733087,1.00000953093404,"ann.fec[14]",2017,"fecundity"
0.211704254754436,0.211531040291159,0.0107078941738147,0.191166214301341,0.233048700576294,1.00002236173737,"ann.fec[15]",2018,"fecundity"
0.285692901454532,0.285610082490746,0.0108186412109586,0.264812546253483,0.307123120151097,1.00001182186641,"ann.fec[16]",2019,"fecundity"
0.372541377195214,0.372477676763788,0.0123741175889429,0.348497355632161,0.396934310760544,1.00000140888457,"ann.fec[17]",2020,"fecundity"
1.00896074011468,1.0090107239095,0.0018376460811927,1.00529289278953,1.01239344207913,1.00180727804051,"fut.growth.rate[1]",NA,"fut.growth.rate[1]"
1.02337852256498,1.02340337506841,0.00177895214872924,1.01984614288731,1.0268098264738,1.0020456315941,"fut.growth.rate[2]",NA,"fut.growth.rate[2]"
0.937019500073688,0.937325127953693,0.00498832232261888,0.926379328741605,0.945938868997921,1.00069811456952,"fut.growth.rate[3]",NA,"fut.growth.rate[3]"
1.0029118203323,1.00331243921105,0.00483253781709225,0.992205717102682,1.01131445061782,1.00729308262815,"lambda[1]",2004,"growth.rate"
0.982953003989813,0.983404619332763,0.0111167924182749,0.960191306169875,1.00299370946485,1.00102808690458,"lambda[2]",2005,"growth.rate"
0.989656159768567,0.990536277602524,0.01527271585196,0.958133108748364,1.0162896211116,1.00455456303326,"lambda[3]",2006,"growth.rate"
1.01851836534461,1.01916875671802,0.00640108345275522,1.00416158484561,1.02929257084531,1.0005388581105,"lambda[4]",2007,"growth.rate"
0.976440967666496,0.976744186046512,0.0107765424702653,0.954505682947194,0.996637183018747,1.00084348675039,"lambda[5]",2008,"growth.rate"
0.989739855509879,0.990161630358398,0.0124987721644372,0.964215423152621,1.01296094368473,1.00010080694894,"lambda[6]",2009,"growth.rate"
0.996288017777866,0.997342865274284,0.00983400900722969,0.974534946722052,1.01233469281177,1.00025232966772,"lambda[7]",2010,"growth.rate"
1.01694088086402,1.01776971894832,0.00856213894740864,0.99781219518156,1.03145336730249,1.00040004434656,"lambda[8]",2011,"growth.rate"
0.919313083976187,0.919174781752527,0.0162181032148395,0.887942995871755,0.951463243786316,1.00038288599161,"lambda[9]",2012,"growth.rate"
1.00492134376284,1.00531653052313,0.020562628624297,0.963670727390602,1.04422328966031,1.00023794243751,"lambda[10]",2013,"growth.rate"
0.966627486722774,0.967667878324087,0.0171783935591206,0.930558153228041,0.99645180366647,1.00102447389735,"lambda[11]",2014,"growth.rate"
0.861658938350521,0.86153544849197,0.0198105995855988,0.823070737491905,0.90055033947061,1.00007117169013,"lambda[12]",2015,"growth.rate"
0.973504483035258,0.974126191556968,0.0144977773661884,0.943370438592185,0.999764877378491,1.00296247820619,"lambda[13]",2016,"growth.rate"
1.04963648183448,1.05033679678809,0.00916420098173018,1.02965797656063,1.06567594417379,1.00000242473326,"lambda[14]",2017,"growth.rate"
1.00304906724495,1.00413412953606,0.00825669175625149,0.983750838876534,1.01620162016202,1.00084014495138,"lambda[15]",2018,"growth.rate"
0.874201030460959,0.873084616672102,0.0351534743727733,0.808500691741264,0.94637887675775,1.0006560473805,"lambda[16]",2019,"growth.rate"
0.317887981312893,0.317873115422327,0.0034284345044103,0.311204676068623,0.324641068279227,1.00114284095148,"mean.fec",NA,"mean.fec"
