parameter,mean,median,lcl,ucl
"IM[14,28,1]",0.882105,1,0,1
"IM[14,29,1]",0.880383333333333,1,0,1
"IM[14,3,1]",74.3767466666667,74,54,97
"IM[14,30,1]",0.88058,1,0,1
"IM[14,4,1]",187.765783333333,187,148,231
"IM[14,5,1]",84.539455,84,64,107
"IM[14,6,1]",137.994485,137,98,182
"IM[14,7,1]",46.4395166666667,46,33,61
"IM[14,8,1]",75.1195183333333,75,49,103
"IM[14,9,1]",24.5140616666667,24,16,35
"IM[15,1,1]",262.556903333333,262,214,313
"IM[15,10,1]",19.2023033333333,19,12,27
"IM[15,11,1]",42.4437116666667,43,18,67
"IM[15,12,1]",42.600025,38,22,81
"IM[15,13,1]",11.2121,11,7,16
"IM[15,14,1]",131.721613333333,132,101,163
"IM[15,15,1]",16.449775,16,11,22
"IM[15,16,1]",22.5197633333333,22,10,37
"IM[15,17,1]",12.1870233333333,10,6,29
"IM[15,18,1]",13.9782683333333,13,4,30
"IM[15,19,1]",9.74827166666667,6,3,28
"IM[15,2,1]",82.2471916666667,82,60,107
"IM[15,20,1]",8.7892,5,2,27
"IM[15,21,1]",1.43312166666667,1,1,3
"IM[15,22,1]",1.15789666666667,1,0,3
"IM[15,23,1]",1.09476833333333,1,0,3
"IM[15,24,1]",1.01533833333333,1,0,2
"IM[15,25,1]",0.989188333333333,1,0,1
"IM[15,26,1]",0.978596666666667,1,0,1
"IM[15,27,1]",0.971126666666667,1,0,1
"IM[15,28,1]",0.965781666666667,1,0,1
"IM[15,29,1]",0.964115,1,0,1
"IM[15,3,1]",177.325951666667,177,139,219
"IM[15,30,1]",0.96352,1,0,1
"IM[15,4,1]",65.1391883333333,65,47,86
"IM[15,5,1]",174.300183333333,174,135,217
"IM[15,6,1]",71.944625,72,54,92
"IM[15,7,1]",123.621756666667,123,84,167
"IM[15,8,1]",38.09545,38,27,51
"IM[15,9,1]",66.12713,66,40,94
"IM[16,1,1]",110.70556,110,84,139
"IM[16,10,1]",55.2599683333333,55,30,82
"IM[16,11,1]",13.6195,13,8,20
"IM[16,12,1]",35.7408666666667,36,12,59
"IM[16,13,1]",31.6180033333333,26,14,70
"IM[16,14,1]",7.09888666666667,7,4,11
"IM[16,15,1]",119.410271666667,119,91,149
"IM[16,16,1]",9.46821333333333,9,6,14
"IM[16,17,1]",16.982065,17,5,31
"IM[16,18,1]",7.27796833333334,5,3,24
"IM[16,19,1]",10.3976366666667,9,2,26
"IM[16,2,1]",242.875278333333,243,199,289
"IM[16,20,1]",6.695805,3,1,24
"IM[16,21,1]",6.63677166666667,3,1,24
"IM[16,22,1]",0.996146666666667,1,0,2
"IM[16,23,1]",1.053055,1,0,3
"IM[16,24,1]",0.991608333333333,1,0,2
"IM[16,25,1]",0.956028333333333,1,0,1
"IM[16,26,1]",0.936916666666667,1,0,1
