BirdID,AGE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
GO-16-18-3821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-3822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-3823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
GO-16-18-3824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-3825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-3867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-410,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-4228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
GO-16-18-4878,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GO-16-18-4889,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
GO-16-18-4903,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GO-16-18-4904,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GO-16-18-5214,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GO-16-18-5215,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
GO-16-18-5221,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
GO-16-18-5223,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
GO-16-18-5224,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
GO-16-18-5225,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GO-16-18-5227,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
GO-16-18-5272,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GO-16-18-5297,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GO-16-18-5298,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GO-16-18-5377,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
GO-16-18-5380,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
GO-16-18-5382,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
