"Lower95","Median","Upper95","Mean","SD","Mode","MCerr","MC.ofSD","SSeff","AC.100","Rhat","parameter","Year","demographic"
3643.99838599604,4514.62584767595,5468.16942494444,4542.08593338745,466.171687196809,4481.30339128932,16.0209528233044,3.4,847,0.868271992109837,1.00263010883806,"Ntot.f[2,9]",2030,"pop.size"
2322.95172976433,2789.44628457057,3330.6305406344,2805.20082705882,257.712744295341,2771.6918528057,7.50712447609778,2.9,1178,0.824400300896474,1.0031436386868,"Ntot.f[3,9]",2030,"pop.size"
2993.70511448459,3661.94974790168,4410.27857044182,3685.53591607185,362.461323545294,3629.87572791436,11.009033418683,3,1084,0.847161191256438,1.00283009486731,"Ntot.f[1,10]",2031,"pop.size"
3638.28541381877,4562.87554019442,5646.1198575503,4595.46818174952,514.58388010362,4520.80407636518,17.9336939613119,3.5,823,0.871757994276059,1.00260538806613,"Ntot.f[2,10]",2031,"pop.size"
2122.62394388169,2595.40132439738,3143.0962532454,2612.74039694139,261.486631942665,2564.11606584398,7.69433767468032,2.9,1155,0.826019865675535,1.00307105330071,"Ntot.f[3,10]",2031,"pop.size"
2926.6050772032,3629.38057692981,4445.02797301483,3655.50913556711,389.208346962657,3590.69462736307,11.9597508729159,3.1,1059,0.850290633718496,1.00276626066977,"Ntot.f[1,11]",2032,"pop.size"
3599.53480254171,4612.85086106971,5798.3643270741,4649.21742385617,564.311783443304,4550.6896566291,19.8730310360634,3.5,806,0.87455950321421,1.0025707060721,"Ntot.f[2,11]",2032,"pop.size"
1940.23317973412,2416.84930807927,2968.67140280708,2435.33011468839,263.855274005553,2387.6794588769,7.82834016076304,3,1136,0.827315073349974,1.00294987025455,"Ntot.f[3,11]",2032,"pop.size"
2842.56884188661,3596.95009638928,4464.14627123815,3626.46606184035,415.725405196035,3547.91914737921,12.7997767820613,3.1,1055,0.852828260087833,1.00268487018103,"Ntot.f[1,12]",2033,"pop.size"
3570.28280919599,4660.35130491863,5965.5226697498,4703.69942273718,615.477843937826,4611.82282842405,22.0098722945626,3.6,782,0.876839067968742,1.00253728471889,"Ntot.f[2,12]",2033,"pop.size"
1775.57527668067,2252.25509565087,2805.52853126269,2271.39474563173,264.779626710824,2221.05615866122,7.72873319243964,2.9,1174,0.828579617827842,1.0029098056473,"Ntot.f[3,12]",2033,"pop.size"
2779.53877673597,3564.4956642133,4499.97395845129,3597.9567860133,442.095552466225,3524.6860830125,13.5513563807415,3.1,1064,0.85504257916616,1.0026138258577,"Ntot.f[1,13]",2034,"pop.size"
3513.90183602494,4708.93350014483,6109.43519330845,4759.03127637418,668.041453260244,4618.62285603392,24.0643138443106,3.6,771,0.878733081617739,1.00249236189572,"Ntot.f[2,13]",2034,"pop.size"
1625.55251267247,2099.64439131755,2655.11602417581,2119.6953993174,264.483201466892,2073.41870029772,7.92074515651829,3,1115,0.829505800696873,1.00283215393613,"Ntot.f[3,13]",2034,"pop.size"
2696.20087126746,3533.65635630986,4517.55779720517,3570.45015035261,468.131264463613,3496.65426105078,14.4491570681291,3.1,1050,0.856874335186549,1.0025811611825,"Ntot.f[1,14]",2035,"pop.size"
3441.30145869834,4759.0724105787,6242.01557353036,4815.63672486646,722.233243461507,4646.82687992683,26.012145236688,3.6,771,0.880338825289968,1.00243979333966,"Ntot.f[2,14]",2035,"pop.size"
