Lower95,Median,Upper95,Mean,SD,Mode,MCerr,MC.ofSD,SSeff,AC.200,psrf,parameter
2453.2560628224,3107.44114942658,3844.35040132175,3119.8738087523,356.440634505561,3094.54591155154,14.5096358029066,4.1,603,0.459744554619857,1.00210032203285,"Ntot.f[1,12]"
3283.82185914045,4296.94432924177,5448.74844503141,4325.0570508438,562.145793583315,4233.83265622882,27.9430711727026,5,405,0.523713468068672,1.00067881449546,"Ntot.f[2,12]"
1484.07935025414,1931.03284266547,2402.39746949805,1939.20202146453,236.170123885046,1919.55750870516,9.75515491683376,4.1,586,0.453235235861761,1.00329789873279,"Ntot.f[3,12]"
2402.47962852485,3091.67796454265,3873.66460941963,3107.23972232171,378.230447840053,3069.43421971608,15.7788231038959,4.2,575,0.466798264002118,1.00188571957492,"Ntot.f[1,13]"
3278.33532592318,4381.37980021983,5626.32168671773,4412.87051838413,612.669521674225,4302.14015730155,31.6071818504123,5.2,376,0.538112305158322,1.00068265355363,"Ntot.f[2,13]"
1353.12107486233,1803.18087094303,2268.63830946865,1812.68321544118,234.92331721718,1778.37077728375,9.93434519643428,4.2,559,0.452694415447815,1.00291230359722,"Ntot.f[3,13]"
2347.42545546614,3078.61894552336,3900.80437762314,3094.96600039128,400.53711814723,3065.3746642605,16.5503699195388,4.1,586,0.473156113444067,1.00170870181072,"Ntot.f[1,14]"
3280.81422515942,4465.17065932324,5816.8962322239,4501.19159991425,663.510027294485,4416.09317719322,35.2082640219863,5.3,355,0.549734562872999,1.00090050524916,"Ntot.f[2,14]"
1241.53603554172,1685.01280618696,2147.75676777603,1694.84261098452,233.013276899039,1671.8850709084,9.88505841780423,4.2,556,0.453824587639531,1.00209109915657,"Ntot.f[3,14]"
2300.08711665658,3063.76581481078,3940.60064548584,3082.80621254394,422.948843927826,3035.98371785154,18.0372445111152,4.3,550,0.479727950220294,1.00154313337002,"Ntot.f[1,15]"
3256.81857295226,4550.77734498669,5995.34263032249,4589.96035497929,714.231353529157,4420.98117023997,38.7190303760527,5.4,340,0.558543525502358,1.00130105525886,"Ntot.f[2,15]"
1154.84783009616,1574.39543963381,2051.21295977537,1585.28599413623,230.649639576509,1560.48491916105,9.82306572785524,4.3,551,0.454710412585439,1.00189049665835,"Ntot.f[3,15]"
2244.93306170017,3050.47721185401,3969.23500795684,3071.00854111201,445.226252016046,3018.19529784833,19.4169809525706,4.4,526,0.48562700217838,1.00139921464296,"Ntot.f[1,16]"
3258.97135327132,4639.5943207001,6197.21679850337,4678.89773812563,764.891099047362,4551.2349242327,42.0735195150677,5.5,331,0.564359324173213,1.00188193516258,"Ntot.f[2,16]"
1051.44543634773,1471.52179451299,1935.21992377465,1483.23101547299,227.544165788949,1450.45706711257,9.75395224049585,4.3,544,0.45404429344775,1.00172996430145,"Ntot.f[3,16]"
2177.16530238656,3034.85601465774,3984.90109685919,3059.28812614302,467.553494884248,3003.0202587963,20.4720234959916,4.4,522,0.491233177996091,1.00126673970415,"Ntot.f[1,17]"
3262.61141575081,4729.57781508745,6373.70913195103,4767.83674319346,814.313718749746,4677.16876589928,45.2806461730446,5.6,323,0.567974017095328,1.00364115501797,"Ntot.f[2,17]"
971.781668777175,1375.6180010053,1839.91815931732,1388.20788378097,223.975131273181,1354.19559841493,9.55780452469203,4.3,549,0.454099730426593,1.00163933694319,"Ntot.f[3,17]"
2147.5108071062,3020.64826534786,4040.75189027937,3048.03582774408,490.237897376852,2982.77258672166,21.7360289523544,4.4,509,0.496625029292907,1.0011878046738,"Ntot.f[1,18]"
3262.59037541811,4819.12161415467,6560.58829487127,4856.51531479216,863.135196664594,4757.93882253078,48.2938195501634,5.6,319,0.569939676722203,1.00471753597108,"Ntot.f[2,18]"
886.388624701483,1285.98149241066,1738.01414296558,1299.51070784774,220.062051267863,1260.62312340801,9.18827040770266,4.2,574,0.454361575988599,1.00152147122857,"Ntot.f[3,18]"
2081.8407800435,3006.62912891579,4058.10289205784,3036.72705646287,512.89161845837,2965.48635621945,22.99505729587,4.5,497,0.501448076045102,1.00111054130779,"Ntot.f[1,19]"
3244.43968158267,4913.6432305443,6710.18279938334,4944.75448839388,910.708987118701,4831.24156053653,51.1044837077073,5.6,318,0.56997025061153,1.00575611361524,"Ntot.f[2,19]"
807.727491335424,1203.31534265076,1644.5497047743,1216.87099448597,215.707063448401,1180.3473366026,9.02214591726466,4.2,572,0.453505823823198,1.00136821245443,"Ntot.f[3,19]"
2037.14131946251,2992.60537597854,4095.81409586974,3025.71253849501,535.35053724873,2929.14701813388,24.2581867603109,4.5,487,0.505860272632632,1.00103477495229,"Ntot.f[1,20]"
3257.38156052166,5008.28663174579,6891.78090514234,5032.26639819716,957.124574743096,4904.32531260013,53.7425255933699,5.6,317,0.569419901781124,1.00665038827799,"Ntot.f[2,20]"
742.588174006677,1126.10728242113,1558.88794117266,1139.689290812,210.992728346716,1101.9612617585,8.84099266364314,4.2,570,0.453457176406894,1.00129386546436,"Ntot.f[3,20]"
1969.92205909593,2978.13489523263,4108.81732656769,3014.83469326216,557.624682438062,2895.47484772491,25.5220337676367,4.6,477,0.510047795292551,1.00096902727349,"Ntot.f[1,21]"
3221.85890001419,5098.78199892459,7018.32127591724,5119.09315349437,1002.3634266669,4992.08720783691,56.2390575955324,5.6,318,0.568138195035549,1.00722338483,"Ntot.f[2,21]"
677.525568058478,1052.94294374777,1474.28840443385,1067.81935061266,206.113955360674,1031.53165858971,8.636262083095,4.2,570,0.452874837210966,1.00120807742686,"Ntot.f[3,21]"
1939.60054897798,2963.04113780316,4152.77127152404,3004.25675018914,579.349351358278,2903.77342461914,26.7477372353604,4.6,469,0.513536621821874,1.00090708135131,"Ntot.f[1,22]"
3297.33108352894,5180.15298967922,7242.5260685472,5204.50198899963,1045.95964942528,5102.14021675252,58.6885771982874,5.6,318,0.566682784981615,1.00767090882104,"Ntot.f[2,22]"
632.990917393755,985.741693733837,1409.7186279958,1000.82171320107,201.089048738341,961.489694401617,8.41626318504763,4.2,571,0.452581572853543,1.00119039175995,"Ntot.f[3,22]"
1881.81172925227,2950.94170762742,4175.93086298065,2993.72262030088,601.106515844456,2858.93650589849,28.0047180083054,4.7,461,0.517229040331247,1.00085146808088,"Ntot.f[1,23]"
3311.4819891851,5263.17308550864,7402.715431722,5289.0297666354,1088.26009598158,5139.50068948494,60.922741055841,5.6,319,0.56485005537941,1.00793667668987,"Ntot.f[2,23]"
573.695939281337,923.495714932,1325.86240225022,938.345258877868,195.754795157077,889.733501944722,8.18807881907335,4.2,572,0.45246880320807,1.00114657205162,"Ntot.f[3,23]"
1838.38017414132,2936.26467296248,4209.03147729708,2983.24425358373,622.242671740667,2818.84794498403,29.238581776535,4.7,453,0.520339740339648,1.0007906192683,"Ntot.f[1,24]"
3279.0734724398,5346.47910310253,7504.23236565401,5372.43142473638,1129.37453971771,5250.90209332254,64.4010299219289,5.7,308,0.563140211430863,1.00644419833538,"Ntot.f[2,24]"
529.428768684449,864.627926573519,1257.99230355493,880.056801851302,190.278998724309,839.412492403363,7.95897674341648,4.2,572,0.452378564543533,1.00107893070227,"Ntot.f[3,24]"
1766.93225006119,2922.04858130034,4214.24778039107,2973.09302648742,643.133596151076,2794.04581713553,30.4480941574684,4.7,446,0.522665432175759,1.00072675704647,"Ntot.f[1,25]"
3294.27419079106,5426.6689928685,7641.96374270407,5454.40709558336,1168.83299299166,5315.00509273149,66.5277425113086,5.7,309,0.561378499468772,1.00656669453111,"Ntot.f[2,25]"
